Title,IC1,RQ1 - Analogy Generation Method,RQ2.1 - Evaluation Method,RQ2.2 - Strength/Weakness of Analogy Generation,RQ2.3 - Strength/Weakness of Analogy Evaluation,RQ3.1 - Generation Challenges,RQ3.2 - Evaluation Challenges,EC1,EC5,EC6,Decision,CrossCheck Result,Metaphor Or Analogy,Comment,,,,,Textual Or Visual,,,,,,,,,
Measuring the similarity between implicit semantic relations from the web,True,False,True,False,False,False,False,False,False,False,Accept,,Analogy,Using SMT to determine similarities between words (not pure embedding based),,,,,,,,,,,,,,
Similarity of Semantic Relations,True,False,True,False,False,False,False,False,False,False,Accept,,Analogy,Introduce latent relational analysis for evaluating analogy,,,,,,,,,,,,,,
Proteus: Visuospatial analogy in problem-solving,True,True,False,True,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Analog retrieval by constraint satisfaction,True,False,False,False,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,,
Formalisation of an Approximate Reasoning: The Analogical Reasoning,True,True,False,True,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,,
Assessing the Lexico-Semantic Relational Knowledge Captured by Word and Concept Embeddings,True,False,False,False,False,False,False,False,False,False,Uncertain,Accept,Other,embedding,,,,,,,,,,,,,,
An Analogical Reasoning Method Based on Multi-task Learning with Relational Clustering,True,True,False,False,False,False,False,False,False,True,Uncertain,Accept,Analogy,,,,,,,,,,,,,,,
Know Your Needs Better: Towards Structured Understanding of Marketer Demands with Analogical Reasoning Augmented LLMs,True,True,False,False,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,,
{E}-{KAR}: A Benchmark for Rationalizing Natural Language Analogical Reasoning,True,True,False,True,False,False,False,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,,
Accelerating Innovation Through Analogy Mining,False,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
A neural network for analogical reasoning,False,False,False,False,False,False,False,False,False,False,Uncertain,Accept,Analogy,"not sure if related to generation, but its inference and connectionist model are related to evaluation",,,,,,,,,,,,,,
Story representation in analogy-based story generation in Riu,True,True,False,True,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Learning by Analogy: Diverse Questions Generation in Math Word Problem,False,False,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Saussurian analogy: a theoretical account and its application,False,False,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
The Word Analogy Testing Caveat,True,False,True,False,True,False,False,False,False,False,Accept,,Other,,,,,,,,,,,,,,,
Visual analogy: {Viewing} analogical retrieval and mapping as constraint satisfaction problems,True,True,False,False,False,False,False,False,False,False,Uncertain,Accept,Analogy,Analogy retrieval and mapping in visual reasoning,,,,,,,,,,,,,,
Analogy retrieval and processing with distributed vector representations,True,True,False,True,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
{P}arallel{PARC}: A Scalable Pipeline for Generating Natural-Language Analogies,True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
{ANALOGYKB}: Unlocking Analogical Reasoning of Language Models with A Million-scale Knowledge Base,True,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
{ANALOGICAL} - A Novel Benchmark for Long Text Analogy Evaluation in Large Language Models,True,False,True,False,False,False,True,False,False,False,Uncertain,Accept,Analogy,,,,,,,,,,,,,,,
{A}na{DE}1.0: A Novel Data Set for Benchmarking Analogy Detection and Extraction,True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Fluid Transformers and Creative Analogies: Exploring Large Language Models’ Capacity for Augmenting Cross-Domain Analogical Creativity,True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
CAM: A Large Language Model-based Creative Analogy Mining Framework,True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
"Analogy, Deduction and Learning",True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
{S}tory{A}nalogy: Deriving Story-level Analogies from Large Language Models to Unlock Analogical Understanding,True,True,True,True,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Analogy Generation by Prompting Large Language Models: A Case Study of {I}nstruct{GPT},True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Long-Form Analogy Evaluation Challenge,True,False,True,False,True,False,True,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
The latent relation mapping engine: algorithm and experiments,True,True,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Learning and reasoning by analogy,True,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Abstraction and analogy-making in artificial intelligence,True,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Temporal Analog Retrieval using Transformation over Dual Hierarchical Structures,True,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
A supervised ranking approach for detecting relationally similar word pairs,True,True,False,False,False,False,False,False,False,False,Accept,,NA,,,,,,,,,,,,,,,
Knowledge element analogy relation recognition using text and graph structure,True,False,True,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
Generating analogical natural language object descriptions,True,True,False,False,False,False,False,False,False,False,Accept,,Analogy,,,,,,,,,,,,,,,
