Title,Decision,Comment,,,,,Metaphor Or Analogy,Textual Or Visual,,,,,,,,
Beneath Surface Similarity,Accept,,,,,,Analogy,,,,,,,,,
Metaphorian,Accept,,,,,,Metaphor,,,,,,,,,
A Neural Network Model of Metaphor Generation with Dynamic Interaction,,https://link.springer.com/chapter/10.1007/978-3-642-04274-4_80,,,,,Metaphor,,,,,,,,,
A Computational System of Metaphor Generation with Evaluation Mechanism,,https://link.springer.com/chapter/10.1007/978-3-642-15822-3_18,,,,,Metaphor,,,,,,,,,
Structure Mapping Engine,Accept,,,,,,Analogy,,,,,,,,,
The computational modeling of analogy-making,Reject,https://www.sciencedirect.com/science/article/pii/S136466130201882X,A review but concludes the multiple models of analogy-making,,,,Analogy,,,,,,,,,
The Copycat project: A model of mental uidity and analogy-making.,Accept,https://pcl.sitehost.iu.edu/rgoldsto/courses/concepts/copycat.pdf,,,,,Analogy,,,,,,,,,
Analogical Mapping by Constraint Satisfaction,Accept,https://onlinelibrary.wiley.com/doi/abs/10.1207/s15516709cog1303_1,"ACME, Mapping engine",,,,Analogy,,,,,,,,,
LISA: A Computational Model of Analogical Inference and Schema Induction,Accept,https://escholarship.org/uc/item/1zp8f3bj,a model of analog retrieval and mapping that is explicitly designed to provide a platform for schema induction and other forms of inference. ,,,,Analogy,,,,,,,,,
Neural Analogical Matching,Accept,https://arxiv.org/abs/2004.03573,"a neural architecture that learns to produce analogies between structured, symbolic representations that are largely consistent with the principles of Structure-Mapping Theory.",,,,Analogy,,,,,,,,,
The Analogical Mind: Perspectives from Cognitive Science,Accept,https://direct.mit.edu/books/edited-volume/2224/The-Analogical-MindPerspectives-from-Cognitive,"A book, but include other analog model such as AMBR and STAR-2",https://direct.mit.edu/books/edited-volume/2224/chapter/58691/Integrating-Memory-and-Reasoning-in-Analogy-Making,https://direct.mit.edu/books/edited-volume/2224/chapter/58691/Integrating-Memory-and-Reasoning-in-Analogy-Making,,Analogy,,,,,,,,,
Efficient Estimation of Word Representations in Vector Space / Linguistic Regularities in Continuous Space Word Representations,Reject,https://arxiv.org/abs/1301.3781,Word2Vec and word analogy/pair test that first been used for embedding models,,,,,,,,,,,,,
VISALOGY: Answering Visual Analogy Questions,Accept,https://arxiv.org/abs/1510.08973,A way to choose the best answer for visual analogy. An evaluation?,,,,,,,,,,,,,
Unlocking Scientific Concepts: How Effective Are LLM-Generated Analogies for Student Understanding and Classroom Practice?,Accept,https://arxiv.org/abs/2502.16895,A human-in-the-loop generation system,,,,,,,,,,,,,
LLM-Generated Personalized Analogies to Foster AI Literacy in Adult Novices,Accept,https://library.apsce.net/index.php/ICCE/article/view/4809,Personalized Analogy Education System,,,,,,,,,,,,,
Toward Affective Empathy via Personalized Analogy Generation: A Case Study on Microaggression,Accept,https://dl.acm.org/doi/10.1145/3706598.3714122,,,,,,,,,,,,,,
