doi,type,year,source,title
https://doi.org/10.1002/(SICI)1096-9128(199710)9:10<927::AID-CPE278>3.0.CO;2-2,article,1997.0,Concurrency: Practice and Experience,A performance debugging tool for high performance Fortran programs
https://doi.org/10.1002/(SICI)1097-4571(199110)42:9<657::AID-ASI4>3.0.CO;2-7,article,1991.0,Journal of the American Society for Information Science,Conceptual organization and retrieval of text by historians: The role of memory and metaphor
https://doi.org/10.1002/(SICI)1097-4571(199604)47:4<311::AID-ASI7>3.0.CO;2-\#,article,1996.0,Journal of the American Society for Information Science,Colinked descriptors: Improving vocabulary selection for end-user searching
https://doi.org/10.1002/(SICI)1097-4571(199802)49:2<134::AID-ASI4>3.0.CO;2-R,article,1998.0,Journal of the American Society for Information Science,Electronic news delivery project
https://doi.org/10.1002/(SICI)1098-111X(199611)11:11<917::AID-INT4>3.0.CO;2-1,article,1996.0,International Journal of Intelligent Systems,Elaborating analogies from conceptual models
https://doi.org/10.1002/(SICI)1520-684X(199805)29:5<73::AID-SCJ8>3.0.CO;2-K,article,1998.0,Systems and Computers in Japan,Learning assistance mechanism using case-based reasoning
https://doi.org/10.1002/1097-4571(2000)9999:9999<::AID-ASI1029>3.0.CO;2-P,article,2000.0,Journal of the American Society for Information Science,"Web-based analyses of E-journal impact: Approaches, problems, and issues"
https://doi.org/10.1002/1099-1670(200012)5:4<231::AID-SPIP128>3.0.CO;2-\#,article,2000.0,Software Process: Improvement and Practice,Integrated evaluation procedure for software/ hardware system development processes based on the Software Capability Maturity Model (CMM)
https://doi.org/10.1002/aisy.201900017,article,2019.0,Advanced Intelligent Systems,Intelligent Liquid Integrated Functional Entity: A Basic Way to Innovate Future Advanced Biomimetic Soft Robotics
https://doi.org/10.1002/aisy.202000233,article,2021.0,Advanced Intelligent Systems,On-Board Mechanical Control Systems for Untethered Microrobots
https://doi.org/10.1002/asi.10080,article,2002.0,Journal of the American Society for Information Science and Technology,On recommending
https://doi.org/10.1002/asi.20082,article,2004.0,Journal of the American Society for Information Science and Technology,Trend detection through temporal link analysis
https://doi.org/10.1002/asi.20490,article,2007.0,Journal of the American Society for Information Science and Technology,Analogies between linguistics and information theory
https://doi.org/10.1002/asi.20576,article,2007.0,Journal of the American Society for Information Science and Technology,Selection power and selection labor for information retrieval
https://doi.org/10.1002/asi.21019,article,2009.0,Journal of the American Society for Information Science and Technology,A particle swarm optimization-driven cognitive map approach to analyzing information systems project risk
https://doi.org/10.1002/asi.21659,article,2011.0,Journal of the American Society for Information Science and Technology,Tag-based social image retrieval: An empirical evaluation
https://doi.org/10.1002/asi.4630200312,article,1969.0,American Documentation,A general method for matching arbitrary logical statements in mechanized retrieval systems
https://doi.org/10.1002/asi.4630350210,article,1984.0,Journal of the American Society for Information Science,Information seeking expressions of users
https://doi.org/10.1002/bult.2011.1720370412,article,2011.0,Bulletin of the American Society for Information Science and Technology,Idea Collider: From a theory of knowledge organization to a theory of knowledge interaction
https://doi.org/10.1002/cav.1676,article,2017.0,Computer Animation and Virtual Worlds,Modeling flocks with perceptual agents from a dynamicist perspective
https://doi.org/10.1002/cav.331,article,2010.0,Computer Animation and Virtual Worlds,Facial animation retargeting and control based on a human appearance space
https://doi.org/10.1002/cav.72,article,2006.0,Computer Animation and Virtual Worlds,Motion retargeting in the presence of topological variations
https://doi.org/10.1002/cpe.5233,article,2020.0,Concurrency and Computation: Practice and Experience,Cascaded hybrid intrusion detection model based on SOM and RBF neural networks
https://doi.org/10.1002/cpe.6176,article,2021.0,Concurrency and Computation: Practice and Experience,Gamma — General Abstract Model for Multiset mAnipulation and dynamic dataflow model: An equivalence study
https://doi.org/10.1002/inf2.12480,article,2023.0,InfoMat,Assessing n-type organic materials for lithium batteries: A techno-economic review
https://doi.org/10.1002/int.10122,article,2003.0,International Journal of Intelligent Systems,A case-based reasoning approach to support story summarization
https://doi.org/10.1002/int.22418,article,2021.0,International Journal of Intelligent Systems,A single-valued neutrosophic multicriteria group decision approach with DPL-TOPSIS method based on optimization
https://doi.org/10.1002/int.4550050403,article,1990.0,International Journal of Intelligent Systems,Reasoning under incomplete information in artificial intelligence: A comparison of formalisms using a single example
https://doi.org/10.1002/int.4550050404,article,1990.0,International Journal of Intelligent Systems,Reasoning under incomplete information in artificial intelligence: A comparison of formalisms using a single example
https://doi.org/10.1002/int.4550050405,article,1990.0,International Journal of Intelligent Systems,Reasoning under incomplete information in artificial intelligence: A comparison of formalisms using a single example
https://doi.org/10.1002/int.4550070504,article,1992.0,International Journal of Intelligent Systems,Generated necessities and possibilities
https://doi.org/10.1002/meet.14504301315,article,2006.0,Proceedings of the American Society for Information Science and Technology,Spatialized information visualizations: a “BASSTEP” approach to application design
https://doi.org/10.1002/meet.14504701208,article,2010.0,Proceedings of the American Society for Information Science and Technology,Questions are content: A taxonomy of questions in a microblogging environment
https://doi.org/10.1002/meet.2009.1450460225,article,2009.0,Proceedings of the American Society for Information Science and Technology,Generalizing link prediction: Collaboration at the University of Antwerp as a case study
https://doi.org/10.1002/mmce.23039,article,2022.0,International Journal of RF and Microwave Computer-Aided Engineering,Design of DSP-based robust antenna beamformer using novel MVDR algorithm: Extension to SLL reduction
https://doi.org/10.1002/scj.4690260102,article,1995.0,Systems and Computers in Japan,A method for generating program specification from source program—analysis by transforming program structure and argument manipulation
https://doi.org/10.1002/smr.2117,article,2019.0,Journal of Software: Evolution and Process,Evaluating filter fuzzy analogy homogenous ensembles for software development effort estimation
https://doi.org/10.1002/smr.2149,article,2019.0,Journal of Software: Evolution and Process,Empirical evaluation of an entropy-based approach to estimation variation of software development effort
https://doi.org/10.1002/smr.2324,article,2021.0,Journal of Software: Evolution and Process,Estimating software development effort using fuzzy clustering-based analogy
https://doi.org/10.1002/smr.2529,article,2024.0,Journal of Software: Evolution and Process,Optimized fuzzy clustering-based k-nearest neighbors imputation for mixed missing data in software development effort estimation
https://doi.org/10.1002/spe.2987,article,2021.0,Software: Practice and Experience,Ajalon: Simplifying the authoring of wearable cognitive assistants
https://doi.org/10.1002/spe.4380120603,article,1982.0,Software: Practice and Experience,A test data synthesizer for telephone company accounting office processing of call data
https://doi.org/10.1002/spe.4380151202,article,1985.0,Software: Practice and Experience,A critique of unix
https://doi.org/10.1002/stvr.313,article,2005.0,"Software Testing, Verification and Reliability",From genetic to bacteriological algorithms for mutation-based testing
https://doi.org/10.1002/vis.4340060205,article,1995.0,The Journal of Visualization and Computer Animation,An integrated approach to motion and sound
https://doi.org/10.1049/ccs2.12032,article,2022.0,Cognitive Computation and Systems,Cross-cultural analysis of the correlation between musical elements and emotion
https://doi.org/10.1049/cit2.12379,article,,CAAI Transactions on Intelligence Technology,Point-PC: Point cloud completion guided by prior knowledge via causal inference
https://doi.org/10.1049/iet-cdt.2019.0178,article,2020.0,IET Computers \& Digital Techniques,The analogy of matchline sensing techniques for content addressable memory (CAM)
https://doi.org/10.1049/iet-sen.2012.0119,article,2013.0,IET Software,Value of ranked voting methods for estimation by analogy
