doi,type,year,source,title
,inproceedings,2025.0,Proceedings of the Joint 25th Nordic Conference on Computational Linguistics and 11th Baltic Conference on Human Language Technologies (NoDaLiDa/Baltic-HLT 2025),Evaluating {LLM}-Generated Explanations of Metaphors {--} A Culture-Sensitive Study of {Danish}
,inproceedings,2025.0,Proceedings of Context and Meaning: Navigating Disagreements in NLP Annotation,Disagreement in Metaphor Annotation of {M}exican {S}panish Science Tweets
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,Collaborative Document Simplification Using Multi-Agent Systems
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,Dying or Departing? Euphemism Detection for Death Discourse in Historical Texts
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,{K}nowledge{P}rompts: Exploring the Abilities of Large Language Models to Solve Proportional Analogies via Knowledge-Enhanced Prompting
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,Post-Hoc Watermarking for Robust Detection in Text Generated by Large Language Models
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,"Automatic Extraction of Metaphoric Analogies from Literary Texts: Task Formulation, Dataset Construction, and Evaluation"
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,Hire Me or Not? Examining Language Model`s Behavior with Occupation Attributes
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,Enhancing Rhetorical Figure Annotation: An Ontology-Based Web Application with {RAG} Integration
,inproceedings,2025.0,Proceedings of the 31st International Conference on Computational Linguistics,Consistency Rating of Semantic Transparency: an Evaluation Method for Metaphor Competence in Idiom Understanding Tasks
10.18653/v1/2024.wmt-1.99,inproceedings,2024.0,Proceedings of the Ninth Conference on Machine Translation,{L}in{C}hance-{NTU} for Unconstrained {WMT}2024 Literary Translation
10.18653/v1/2024.trustnlp-1.16,inproceedings,2024.0,Proceedings of the 4th Workshop on Trustworthy Natural Language Processing (TrustNLP 2024),Introducing {G}en{C}eption for Multimodal {LLM} Benchmarking: You May Bypass Annotations
10.18653/v1/2024.semeval-1.203,inproceedings,2024.0,Proceedings of the 18th International Workshop on Semantic Evaluation (SemEval-2024),{BCA}mirs at {S}em{E}val-2024 Task 4: Beyond Words: A Multimodal and Multilingual Exploration of Persuasion in Memes
10.18653/v1/2024.nlp4dh-1.20,inproceedings,2024.0,Proceedings of the 4th International Conference on Natural Language Processing for Digital Humanities,Adapting Measures of Literality for Use with Historical Language Data
10.18653/v1/2024.naacl-long.15,inproceedings,2024.0,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),Unleashing the Emergent Cognitive Synergy in Large Language Models: A Task-Solving Agent through Multi-Persona Self-Collaboration
10.18653/v1/2024.naacl-long.329,inproceedings,2024.0,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),{P}arallel{PARC}: A Scalable Pipeline for Generating Natural-Language Analogies
10.18653/v1/2024.naacl-long.428,inproceedings,2024.0,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),A Theory Guided Scaffolding Instruction Framework for {LLM}-Enabled Metaphor Reasoning
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",{BEIR}-{PL}: Zero Shot Information Retrieval Benchmark for the {P}olish Language
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",{CMDAG}: A {C}hinese Metaphor Dataset with Annotated Grounds as {C}o{T} for Boosting Metaphor Generation
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",Context Matters: Enhancing Metaphor Recognition in Proverbs
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",Continued Pre-training on Sentence Analogies for Translation with Small Data
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",{C}ontrast{WSD}: Enhancing Metaphor Detection with Word Sense Disambiguation Following the Metaphor Identification Procedure
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",Humanistic Buddhism Corpus: A Challenging Domain-Specific Dataset of {E}nglish Translations for Classical and {M}odern {C}hinese
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",{MK}e{CL}: Medical Knowledge-Enhanced Contrastive Learning for Few-shot Disease Diagnosis
,inproceedings,2024.0,"Proceedings of the 2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation (LREC-COLING 2024)",Prompt-based Zero-shot Relation Extraction with Semantic Knowledge Augmentation
,inproceedings,2024.0,Proceedings of the 18th Linguistic Annotation Workshop (LAW-XVIII),When is a Metaphor Actually Novel? Annotating Metaphor Novelty in the Context of Automatic Metaphor Detection
,inproceedings,2024.0,Proceedings of the 17th International Natural Language Generation Conference: Generation Challenges,Long-Form Analogy Evaluation Challenge
,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EACL 2024,{OYXOY}: A {M}odern {NLP} Test Suite for {M}odern {G}reek
,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EACL 2024,Bridging Cultural Nuances in Dialogue Agents through Cultural Value Surveys
10.18653/v1/2024.findings-acl.784,inproceedings,2024.0,Findings of the Association for Computational Linguistics: ACL 2024,Figuratively Speaking: Authorship Attribution via Multi-Task Figurative Language Modeling
10.18653/v1/2024.findings-emnlp.336,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,Merely Judging Metaphor is Not Enough: Research on Reasonable Metaphor Detection
10.18653/v1/2024.findings-emnlp.366,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,Unveiling the Invisible: Captioning Videos with Metaphors
10.18653/v1/2024.findings-emnlp.392,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,From Generation to Selection: Findings of Converting Analogical Problem-Solving into Multiple-Choice Questions
10.18653/v1/2024.findings-emnlp.901,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,Beyond Perplexity: Multi-dimensional Safety Evaluation of {LLM} Compression
10.18653/v1/2024.findings-emnlp.934,inproceedings,2024.0,Findings of the Association for Computational Linguistics: EMNLP 2024,Grounding Partially-Defined Events in Multimodal Data
10.18653/v1/2024.figlang-1.8,inproceedings,2024.0,Proceedings of the 4th Workshop on Figurative Language Processing (FigLang 2024),Evaluating the Development of Linguistic Metaphor Annotation in {M}exican {S}panish Popular Science Tweets
10.18653/v1/2024.figlang-1.11,inproceedings,2024.0,Proceedings of the 4th Workshop on Figurative Language Processing (FigLang 2024),An Expectation-Realization Model for Metaphor Detection
10.18653/v1/2024.figlang-1.13,inproceedings,2024.0,Proceedings of the 4th Workshop on Figurative Language Processing (FigLang 2024),{F}ig{CLIP}: A Generative Multimodal Model with Bidirectional Cross-attention for Understanding Figurative Language via Visual Entailment
10.18653/v1/2024.emnlp-main.51,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,In-context Contrastive Learning for Event Causality Identification
10.18653/v1/2024.emnlp-main.346,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,Boosting Scientific Concepts Understanding: Can Analogy from Teacher Models Empower Student Models?
10.18653/v1/2024.emnlp-main.634,inproceedings,2024.0,Proceedings of the 2024 Conference on Empirical Methods in Natural Language Processing,{MMTE}: Corpus and Metrics for Evaluating Machine Translation Quality of Metaphorical Language
