doi,type,year,source,title
10.1613/jair.1.15118,article,2025.0,J. Artif. Int. Res.,Opening the Analogical Portal to Explainability: Can Analogies Help Laypeople in AI-assisted Decision Making?
10.1145/3714457,article,2025.0,ACM Comput. Surv.,Natural Language Processing Methods for Symbolic Music Generation and Information Retrieval: A Survey
10.1145/3591196.3593516,inproceedings,2023.0,Proceedings of the 15th Conference on Creativity and Cognition,Fluid Transformers and Creative Analogies: Exploring Large Language Models’ Capacity for Augmenting Cross-Domain Analogical Creativity
10.1145/3584931.3606983,inproceedings,2023.0,Companion Publication of the 2023 Conference on Computer Supported Cooperative Work and Social Computing,"Can Password Meter be More Effective Towards User Attention, Engagement, and Attachment?: A Study of Metaphor-based Designs"
10.1145/3543873.3587333,inproceedings,2023.0,Companion Proceedings of the ACM Web Conference 2023,An Analogical Reasoning Method Based on Multi-task Learning with Relational Clustering
10.1145/3643745,article,2024.0,Proc. ACM Softw. Eng.,DiffCoder: Enhancing Large Language Model on API Invocation via Analogical Code Exercises
10.1145/3586183.3606803,inproceedings,2023.0,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,STAR: Smartphone-analogous Typing in Augmented Reality
10.1145/3615522.3615534,inproceedings,2023.0,Proceedings of the 16th International Symposium on Visual Information Communication and Interaction,Metaphor Design of Dockless Bike-sharing Based on Spatio-temporal Geographic Data
10.1145/3613905.3651035,inproceedings,2024.0,Extended Abstracts of the CHI Conference on Human Factors in Computing Systems,BioSpark: An End-to-End Generative System for Biological-Analogical Inspirations and Ideation
10.1145/3166072.3166077,inproceedings,2017.0,Proceedings of the 22nd Australasian Document Computing Symposium,Efficient Analogy Completion with Word Embedding Clusters
10.1145/3637528.3671583,inproceedings,2024.0,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,Know Your Needs Better: Towards Structured Understanding of Marketer Demands with Analogical Reasoning Augmented LLMs
10.1145/3582768.3582794,inproceedings,2023.0,Proceedings of the 2022 6th International Conference on Natural Language Processing and Information Retrieval,An Analogy based Approach for Solving Target Sense Verification
10.1145/3591196.3596817,inproceedings,2023.0,Proceedings of the 15th Conference on Creativity and Cognition,AnalogiLead: Improving Selection of Analogical Inspirations with Chunking and Recombination
10.1145/3583780.3615030,inproceedings,2023.0,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,Relevant Entity Selection: Knowledge Graph Bootstrapping via Zero-Shot Analogical Pruning
10.1145/3530013,article,2022.0,ACM Trans. Comput.-Hum. Interact.,Augmenting Scientific Creativity with an Analogical Search Engine
10.1145/2556288.2557371,inproceedings,2014.0,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Distributed analogical idea generation: inventing with crowds
10.1145/3626772.3657697,inproceedings,2024.0,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,Generative Retrieval as Multi-Vector Dense Retrieval
10.1145/3543507.3587431,inproceedings,2023.0,Proceedings of the ACM Web Conference 2023,CAM: A Large Language Model-based Creative Analogy Mining Framework
10.1145/3677386.3682090,inproceedings,2024.0,Proceedings of the 2024 ACM Symposium on Spatial User Interaction,"Evaluation of Retrieval Techniques for Out-of-Range VR Objects, Contrasting Controller-Based and Free-Hand Interaction"
10.1145/3641822.3641864,inproceedings,2024.0,Proceedings of the 2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering,An Exploratory Study of Programmers' Analogical Reasoning and Software History Usage During Code Re-Purposing
10.1145/3633053.3633061,inproceedings,2024.0,Proceedings of the 8th Conference on Computing Education Practice,Tool-Driven Scaffolding of Student-Generated Analogies in CS1
10.1145/3544548.3581120,inproceedings,2023.0,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,Can we crowdsource Tacton similarity perception and metaphor ratings?
10.1145/3485279.3485296,inproceedings,2021.0,Proceedings of the 2021 ACM Symposium on Spatial User Interaction,Design and Empirical Evaluation of a Novel Near-field Interaction Metaphor on Distant Object Manipulation in VR
10.1145/2818048.2835201,inproceedings,2016.0,Proceedings of the 19th ACM Conference on Computer-Supported Cooperative Work    amp; Social Computing,Distributed Analogical Idea Generation with Multiple Constraints
,inproceedings,2020.0,Proceedings of the 19th International Conference on Autonomous Agents and MultiAgent Systems,Off-Policy Deep Reinforcement Learning with Analogous Disentangled Exploration
10.1145/3626772.3657823,inproceedings,2024.0,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,CaLa: Complementary Association Learning for Augmenting Comoposed Image Retrieval
10.1145/2254556.2254573,inproceedings,2012.0,Proceedings of the International Working Conference on Advanced Visual Interfaces,Metaphor modelling for tangible interfaces evaluation
10.1145/3019612.3019905,inproceedings,2017.0,Proceedings of the Symposium on Applied Computing,Empirical evaluation of fuzzy analogy for software development effort estimation
10.1109/TASLP.2020.3040507,article,2020.0,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",A Knowledge Graph Embedding Approach for Metaphor Processing
10.1145/3640824.3640859,inproceedings,2024.0,Proceedings of the 2024 8th International Conference on Control Engineering and Artificial Intelligence,DeepHashDetection: Adversarial Example Detection Basedon Similarity Image Retrieval
10.1145/3664647.3681060,inproceedings,2024.0,Proceedings of the 32nd ACM International Conference on Multimedia,Generating Multimodal Metaphorical Features for Meme Understanding
10.1145/3097983.3098038,inproceedings,2017.0,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Accelerating Innovation Through Analogy Mining
10.1145/3411764.3445325,inproceedings,2021.0,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,MetaMap: Supporting Visual Metaphor Ideation through Multi-dimensional Example-based Exploration
10.1162/COLI_a_00233,article,2015.0,Comput. Linguist.,Design and evaluation of metaphor processing systems
10.1145/2018358.2018372,inproceedings,2011.0,Proceedings of the 13th International Conference on Artificial Intelligence and Law,"Analogy, similarity and factors"
10.1145/3627673.3679060,inproceedings,2024.0,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,Ensembles for Outlier Detection and Evaluation
10.1109/TASLP.2024.3399026,article,2024.0,"IEEE/ACM Trans. Audio, Speech and Lang. Proc.",Music ControlNet: Multiple Time-Varying Controls for Music Generation
10.1145/3618320,article,2023.0,ACM Trans. Graph.,Commonsense Knowledge-Driven Joint Reasoning Approach for Object Retrieval in Virtual Reality
10.1145/1244002.1244303,inproceedings,2007.0,Proceedings of the 2007 ACM Symposium on Applied Computing,Instance-based retrieval by analogy
10.1145/3474085.3475505,inproceedings,2021.0,Proceedings of the 29th ACM International Conference on Multimedia,Deep Neural Network Retrieval
10.1145/1414004.1414057,inproceedings,2008.0,Proceedings of the Second ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,Empirical evaluation of analogy-x for software cost estimation
10.1145/3635059.3635104,inproceedings,2024.0,Proceedings of the 27th Pan-Hellenic Conference on Progress in Computing and Informatics,Large Language Models versus Natural Language Understanding and Generation
10.1145/3700906.3700984,inproceedings,2024.0,"Proceedings of the International Conference on Image Processing, Machine Learning and Pattern Recognition",Research on a Software System Size Evaluation Model Combining BiLSTM-CRF with Domain Adaptation Learning
10.1145/3106668.3106671,inproceedings,2017.0,Proceedings of the 9th Workshop on Multimedia for Cooking and Eating Activities in Conjunction with The 2017 International Joint Conference on Artificial Intelligence,Multilingualization of Restaurant Menu by Analogical Description
10.1145/3421558.3421576,inproceedings,2020.0,Proceedings of the 2020 2nd International Conference on Image Processing and Machine Vision,A Neural-Network Model for Deriving Analogous Three-vector ECGs of S-ICD from Standard Nine-lead ECGs
10.1145/3543507.3587430,inproceedings,2023.0,Proceedings of the ACM Web Conference 2023,A Prompt Log Analysis of Text-to-Image Generation Systems
