doi,type,year,source,title
10.1109/CEIDP.2018.8544766,inproceedings,2018.0,2018 IEEE Conference on Electrical Insulation and Dielectric Phenomena (CEIDP),The Acoustic Wave Behavior Within the PEA Cell for Space Charge Measurement
10.1109/20.250738,article,1993.0,IEEE Transactions on Magnetics,Electromagnetic field computation in planar integrated structures with a biaxial grounded slab
10.1109/EUROCON.2015.7313670,inproceedings,2015.0,IEEE EUROCON 2015 - International Conference on Computer as a Tool (EUROCON),Automated segmentation of brain tumors in MRI using potential field clustering
10.1109/AERO.2009.4839733,inproceedings,2009.0,2009 IEEE Aerospace conference,Quantitative approach to independent schedule estimates of NASA Science Missions
10.1109/CEIDP.2018.8544757,inproceedings,2018.0,2018 IEEE Conference on Electrical Insulation and Dielectric Phenomena (CEIDP),Optimized Arrival Time Determination of UHF Pulses for Localization of Partial Discharges in Power Transformers
10.1109/ITSC.2003.1251933,inproceedings,2003.0,Proceedings of the 2003 IEEE International Conference on Intelligent Transportation Systems,A hypothesis based on traffic pressure and its application on evaluating level of service for basic freeway segments
10.1109/ICTEM56862.2023.10084122,inproceedings,2023.0,2023 8th International Conference on Technology and Energy Management (ICTEM),A creative way to teach and learn power electronic laboratory equipment in renewable systems
10.1109/ITSC.2011.6082992,inproceedings,2011.0,2011 14th International IEEE Conference on Intelligent Transportation Systems (ITSC),Perfect homogeneous rail traffic: A quick efficient genetic algorithm for high frequency train timetabling
10.1109/QRS-C.2016.46,inproceedings,2016.0,"2016 IEEE International Conference on Software Quality, Reliability and Security Companion (QRS-C)",Hunting the game - Towards a game of testing adaptive systems
10.1109/CCNC.2018.8319244,inproceedings,2018.0,2018 15th IEEE Annual Consumer Communications & Networking Conference (CCNC),A fuzzy control-based approach for the selection of health interventions
10.1109/PESW.2000.847312,inproceedings,2000.0,2000 IEEE Power Engineering Society Winter Meeting. Conference Proceedings (Cat. No.00CH37077),Development of elementary technologies for 100 kWh/20 MW SMES with multipurpose applications
10.1109/CANDO-EPE47959.2019.9111032,inproceedings,2019.0,2019 International IEEE Conference and Workshop in Óbuda on Electrical and Power Engineering (CANDO-EPE),Domestic electrical appliance simulation for energy management: application to real case study
10.1109/ICoAC.2017.8441315,inproceedings,2017.0,2017 Ninth International Conference on Advanced Computing (ICoAC),Enhanced Negative Selection Algorithm for Malicious Node Detection in MANET
10.1109/IUCE.2009.33,inproceedings,2009.0,2009 International Symposium on Intelligent Ubiquitous Computing and Education,Network Monitoring Based on Community Structure Change
10.1109/IIH-MSP.2012.22,inproceedings,2012.0,2012 Eighth International Conference on Intelligent Information Hiding and Multimedia Signal Processing,An Efficient Algorithm for Protecting and Authenticating Medical Image
