doi,type,year,source,title
https://doi.org/10.1016/j.vlsi.2020.04.004,article,2020.0,Integration,Yield constrained automated design algorithm for power optimized pipeline ADC
https://doi.org/10.1016/B978-1-85617-507-4.00023-1,incollection,2009.0,Bebop to the Boolean Boogie (Third Edition),Chapter 23 - Design and Verification Tools
https://doi.org/10.1016/S1389-1286(99)00013-4,article,1999.0,Computer Networks,Improving Web interaction on small displays
https://doi.org/10.1016/j.compfluid.2016.02.014,article,2016.0,Computers & Fluids,Characterisation of sheet cavity noise of a hydrofoil using the Ffowcs Williams–Hawkings acoustic analogy
https://doi.org/10.1016/j.jmbbm.2022.105604,article,2023.0,Journal of the Mechanical Behavior of Biomedical Materials,Weak adhesion between ceramic and resin cement impairs the load-bearing capacity under fatigue of lithium disilicate glass-ceramic crowns
https://doi.org/10.1016/0004-3702(90)90018-U,article,1990.0,Artificial Intelligence,Analog retrieval by constraint satisfaction
https://doi.org/10.1021/acschembio.3c00693,article,2024.0,ACS Chemical Biology,Characterization of Dichloroisoeverninic Acid Biosynthesis and Chemoenzymatic Synthesis of New Orthosomycins
https://doi.org/10.1016/j.apacoust.2018.10.019,article,2019.0,Applied Acoustics,Simulation and design improvement of a low noise control valve in autonomous underwater vehicles
https://doi.org/10.1016/j.bspc.2020.101900,article,2020.0,Biomedical Signal Processing and Control,Acoustic therapies for tinnitus: The basis and the electroencephalographic evaluation
https://doi.org/10.1016/S0004-3702(99)00016-8,article,1999.0,Artificial Intelligence,iCTRL: Intensional conformal text representation language
https://doi.org/10.1016/j.yofte.2010.06.005,article,2010.0,Optical Fiber Technology,Compensation of IQ mismatch in optical PDM–OFDM coherent receivers
https://doi.org/10.1016/j.matdes.2015.12.088,article,2016.0,Materials & Design,Correlating shrinkage microporosity with the mechanical properties of sand-cast superduplex stainless steel using a numerical/experimental approach
https://doi.org/10.1016/j.asoc.2020.106717,article,2020.0,Applied Soft Computing,Mutation operators for Genetic Programming using Monte Carlo Tree Search
https://doi.org/10.1016/j.ijadhadh.2018.06.006,article,2018.0,International Journal of Adhesion and Adhesives,Effect of the bonding strategy on the tensile retention of full-contour zirconia crowns
https://doi.org/10.1016/j.mcm.2006.04.007,article,2007.0,Mathematical and Computer Modelling,Crowd dynamics on a moving platform: Mathematical modelling and application to lively footbridges
https://doi.org/10.1016/j.measurement.2013.04.013,article,2013.0,Measurement,Test bed for power amplifier behavioral characterization and modeling
https://doi.org/10.1016/j.applthermaleng.2013.05.036,article,2013.0,Applied Thermal Engineering,Liquid cooling enhancement by means of magnetic fields
https://doi.org/10.1016/j.jrmge.2019.07.006,article,2020.0,Journal of Rock Mechanics and Geotechnical Engineering,On the use of 1g physical models for ground movements and soil-structure interaction problems
https://doi.org/10.2196/43432,article,2023.0,Journal of Medical Internet Research,Efficacy of a Mobile Phone–Based Intervention on Health Behaviors and HIV/AIDS Treatment Management: Randomized Controlled Trial
https://doi.org/10.1016/j.ijleo.2022.169131,article,2022.0,Optik,Nonlinear dynamics of “déjà vu” phenomenon in nonautonomous cubic–quintic NLSE models: Complete suppression of rogue waves generation
https://doi.org/10.1016/S0026-2714(00)00189-X,article,2000.0,Microelectronics Reliability,MOS transistor reliability under analog operation
https://doi.org/10.1016/j.wear.2008.04.054,article,2009.0,Wear,Quality assurance —Have we specified it the wrong way round?
https://doi.org/10.1016/j.ijleo.2019.03.085,article,2019.0,Optik,Active control of photo-induced electromagnetically induced transparency in terahertz region
https://doi.org/10.1016/0030-3992(95)00056-9,article,1996.0,Optics & Laser Technology,Real-time histogram generation using active optical scanning
https://doi.org/10.1016/j.physme.2010.11.006,article,2010.0,Physical Mesomechanics,Structural integrity of bonded joints
https://doi.org/10.1016/j.engfailanal.2012.12.003,article,2013.0,Engineering Failure Analysis,Engineering failure data analysis: Revisiting the standard linear approach
https://doi.org/10.1016/j.measurement.2020.107836,article,2020.0,Measurement,Performance of ionospheric-free PPP time transfer models with BDS-3 quad-frequency observations
https://doi.org/10.1016/j.jmatprotec.2004.01.063,article,2005.0,Journal of Materials Processing Technology,A note on the conceptual design of polymeric composite automotive bumper system
https://doi.org/10.1016/j.oceaneng.2021.109359,article,2021.0,Ocean Engineering,CFD modelling of local scour around Tri-USAF in sand with different arrangements under steady current
https://doi.org/10.1016/j.apenergy.2018.02.038,article,2018.0,Applied Energy,"Integrating a hydrogen fuel cell electric vehicle with vehicle-to-grid technology, photovoltaic power and a residential building"
https://doi.org/10.1016/S0031-3203(02)00165-6,article,2003.0,Pattern Recognition,Efficient face candidates selector for face detection
https://doi.org/10.1016/j.aeue.2019.153052,article,2020.0,AEU - International Journal of Electronics and Communications,Performance evaluation of linearity and intermodulation distortion of nanoscale GaN-SOI FinFET for RFIC design
https://doi.org/10.1016/j.jmbbm.2020.103928,article,2020.0,Journal of the Mechanical Behavior of Biomedical Materials,Quantitative and qualitative analyses of ceramic chipping
https://doi.org/10.1016/0169-7552(95)00036-7,article,1995.0,Computer Networks and ISDN Systems,DeckScape: an experimental Web browser
https://doi.org/10.1016/j.measurement.2016.07.025,article,2016.0,Measurement,A low complexity digital unit for scalar linear interpolation and compression
https://doi.org/10.1016/j.jmbbm.2020.103726,article,2020.0,Journal of the Mechanical Behavior of Biomedical Materials,Response of Saos-2 osteoblast-like cells to kilohertz-resonance excitation in porous metallic scaffolds
https://doi.org/10.1016/j.compositesb.2024.111959,article,2025.0,Composites Part B: Engineering,On demand thermal surface modification of carbon fiber for improved interfacial shear strength
https://doi.org/10.1016/j.aeue.2020.153163,article,2020.0,AEU - International Journal of Electronics and Communications,Investigation on a binary-weighted reflection-coefficient generator for broadband multiport transmitters
https://doi.org/10.1016/j.aeue.2020.153310,article,2020.0,AEU - International Journal of Electronics and Communications,Extremely low-voltage low-power differential difference current conveyor using multiple-input bulk-driven technique
https://doi.org/10.1016/j.nucengdes.2024.113098,article,2024.0,Nuclear Engineering and Design,Application of information technology to create the digital acoustic models of VVER
https://doi.org/10.1016/j.optlaseng.2022.107059,article,2022.0,Optics and Lasers in Engineering,High-efficiency and high-fidelity optical signal transmission in free space through scattering media using 2D random amplitude-only patterns and look-up table
https://doi.org/10.1016/j.vlsi.2017.08.006,article,2018.0,Integration,SystemC-AMS modeling of photodiode based on PWL technique to be used in energy harvesting CMOS image sensor
https://doi.org/10.1016/j.ijheatmasstransfer.2009.01.047,article,2009.0,International Journal of Heat and Mass Transfer,Evaluation of the different definitions of the convective mass transfer coefficient for water evaporation into air
https://doi.org/10.1016/j.istruc.2019.10.021,article,2020.0,Structures,Evaluation of Design Methods for Prestressed Concrete Members with Stirrups Using a New Traditional Shear Database
https://doi.org/10.1016/j.mechmat.2018.08.010,article,2018.0,Mechanics of Materials,Consideration of arbitrary inclusion shapes in the framework of isotropic continuum micromechanics: The replacement Eshelby tensor approach
https://doi.org/10.1016/j.ijheatmasstransfer.2019.118752,article,2019.0,International Journal of Heat and Mass Transfer,Analytical and numerical predictions of the thermal performance of multi-layered lattice structures
https://doi.org/10.1016/j.microrel.2008.07.060,article,2008.0,Microelectronics Reliability,Failure Analysis enhancement by evaluating the Photoelectric Laser Stimulation impact on mixed-mode ICs
https://doi.org/10.1016/S1474-6670(17)37791-1,article,2003.0,IFAC Proceedings Volumes,Model Based Analysis of Seasickness Effects in a Fast Ferry
https://doi.org/10.1016/j.ijheatmasstransfer.2016.07.066,article,2016.0,International Journal of Heat and Mass Transfer,Improvements of film cooling effectiveness by using Barchan dune shaped ramps
https://doi.org/10.1016/j.engstruct.2003.09.014,article,2004.0,Engineering Structures,Evaluation of equivalent damping ratio of a structure with added dampers
https://doi.org/10.1016/j.compfluid.2025.106590,article,2025.0,Computers & Fluids,Optimizing fluid mixing in channel flow using wall-mounted flexible structures
https://doi.org/10.1016/j.aeue.2022.154421,article,2022.0,AEU - International Journal of Electronics and Communications,An energy efficient symmetrical DAC switching scheme for single-ended SAR ADCs with zero reset energy and a 3-stage common-mode insensitive regenerative comparator
https://doi.org/10.3182/20050703-6-CZ-1902.02093,article,2005.0,IFAC Proceedings Volumes,DNA ALGORITHMS BASED ON EXON SHUFFLING
https://doi.org/10.1016/j.engfailanal.2012.05.005,article,2012.0,Engineering Failure Analysis,Analysis of fretting fatigue life of dovetail assemblies based on fracture mechanics method
https://doi.org/10.1016/j.ijheatfluidflow.2008.08.007,article,2008.0,International Journal of Heat and Fluid Flow,On the weak-equilibrium condition for derivation of algebraic heat flux model
https://doi.org/10.1016/j.ijheatmasstransfer.2020.119580,article,2020.0,International Journal of Heat and Mass Transfer,Numerical study and correlations for heat and mass transfer coefficients in indirect evaporative coolers with condensation based on orthogonal test and CFD approach
https://doi.org/10.1016/j.bios.2012.10.010,article,2013.0,Biosensors and Bioelectronics,Improved DNA detection by utilizing electrically neutral DNA probe in field-effect transistor measurements as evidenced by surface plasmon resonance imaging
https://doi.org/10.1016/j.apm.2011.04.030,article,2011.0,Applied Mathematical Modelling,Buckling analysis of shear deformable plates using the quadrature element method
https://doi.org/10.2196/42365,article,2023.0,Journal of Medical Internet Research,Physical Versus Virtual Reality–Based Calm Rooms for Psychiatric Inpatients: Quasi-Randomized Trial
https://doi.org/10.1016/j.mejo.2007.03.017,article,2007.0,Microelectronics Journal,A behavioral model development methodology for microwave components and integration in VHDL-AMS
https://doi.org/10.1016/j.conbuildmat.2014.08.034,article,2014.0,Construction and Building Materials,Use of coarse recycled aggregates from precast concrete rejects: Mechanical and durability performance
https://doi.org/10.1016/j.sna.2017.06.025,article,2017.0,Sensors and Actuators A: Physical,A new nano-power trigger circuit for battery-less power management electronics in energy harvesting systems
https://doi.org/10.1016/j.jmbbm.2020.103893,article,2020.0,Journal of the Mechanical Behavior of Biomedical Materials,Effect of resin cement space on the fatigue behavior of bonded CAD/CAM leucite ceramic crowns
https://doi.org/10.1016/j.aeue.2024.155624,article,2025.0,AEU - International Journal of Electronics and Communications,Experimental validation of a high-frequency memristor emulator based on CCCCTA framework and its application in chaos circuit
https://doi.org/10.1016/S1001-6058(16)60627-3,article,2016.0,"Journal of Hydrodynamics, Ser. B",Computation of vortical flow and flow induced noise by large eddy simulation with FW-H acoustic analogy and Powell vortex sound theory
