id,year,title,venue,bibtype,gre_stem
P80-1014,1980,Computational Analogues of Constraints on Grammars: A Model of Syntactic Acquisition,18th Annual Meeting of the Association for Computational Linguistics,inproceedings,0
P81-1015,1981,Analogies in Spontaneous Discourse,19th Annual Meeting of the Association for Computational Linguistics,inproceedings,0
C82-1051,1982,Procedural Meaning Representation by Connotative Dependency Structures. An Empirical Approach to Word Semantics for Analogical Referencing,Coling 1982: Proceedings of the Ninth International Conference on Computational Linguistics,inproceedings,0
C86-1069,1986,Machine Learning of Morphological Rules by Generalization and Analogy,Coling 1986 Volume 1: The 11th International Conference on Computational Linguistics,inproceedings,0
H91-1039,1991,Analog Implementations of Auditory Models,"Speech and Natural Language: Proceedings of a Workshop Held at Pacific Grove, California, February 19-22, 1991",inproceedings,0
J91-2010,1991,Analogical Modeling of Language,Computational Linguistics,article,0
H92-1029,1992,An Analogical Parser for Restricted Domains,"Speech and Natural Language: Proceedings of a Workshop Held at Harriman, New York, February 23-26, 1992",inproceedings,0
C96-1046,1996,Pronouncing Text by Analogy,COLING 1996 Volume 1: The 16th International Conference on Computational Linguistics,inproceedings,0
C96-1064,1996,Resolving syntactic ambiguities with lexico-semantic patterns: an analogy-based approach,COLING 1996 Volume 1: The 16th International Conference on Computational Linguistics,inproceedings,0
C96-2121,1996,Saussurian analogy: a theoretical account and its application,COLING 1996 Volume 2: The 16th International Conference on Computational Linguistics,inproceedings,0
J96-4008,1996,Book Reviews: Analogical Natural Language Processing,Computational Linguistics,article,0
P97-1055,1997,Paradigmatic Cascades: A Linguistically Sound Model of Pronunciation by Analogy,35th Annual Meeting of the Association for Computational Linguistics and 8th Conference of the European Chapter of the Association for Computational Linguistics,inproceedings,0
W97-0403,1997,Towards Translating Spoken Language Pragmatics in an Analogical Framework,Spoken Language Translation,inproceedings,0
W97-0405,1997,A Formal Basis for Spoken Language Translation by Analogy,Spoken Language Translation,inproceedings,0
W97-0813,1997,Inferring Semantic Similarity from Distributional Evidence: an Analogy-based Approach to Word Sense Disambiguation,Automatic Information Extraction and Building of Lexical Semantic Resources for NLP Applications,inproceedings,0
C98-1116,1998,Solving Analogies on Words: An Algorithm,COLING 1998 Volume 1: The 17th International Conference on Computational Linguistics,inproceedings,0
P98-1120,1998,Solving analogies on words: an algorithm,"36th Annual Meeting of the Association for Computational Linguistics and 17th International Conference on Computational Linguistics, Volume 1",inproceedings,0
P98-1121,1998,Un algorithme pour la resolution des analogies entre mots / Algorytm do rozstrzygania analogii pomi edzy s owami / Ein Algorithmus zur Losung von Wort-Analogien / 単語の類推関係解決手法,"36th Annual Meeting of the Association for Computational Linguistics and 17th International Conference on Computational Linguistics, Volume 1",inproceedings,0
Y99-1030,1999,Sub-Sentential Alignment Method by Analogy,"Proceedings of the 13th Pacific Asia Conference on Language, Information and Computation",inproceedings,0
2000.iwpt-1.10,2000,From Cases to Rules and Vice Versa: Robust Practical Parsing With Analogy,Proceedings of the Sixth International Workshop on Parsing Technologies,inproceedings,1
C00-1071,2000,Languages of Analogical Strings,COLING 2000 Volume 1: The 18th International Conference on Computational Linguistics,inproceedings,0
C00-1075,2000,Application of Analogical Modelling to Example Based Machine Translation,COLING 2000 Volume 1: The 18th International Conference on Computational Linguistics,inproceedings,0
J00-2003,2000,A multistrategy approach to improving pronunciation by analogy,Computational Linguistics,article,0
W00-0703,2000,Pronunciation by Analogy in Normal and Impaired Readers,Fourth Conference on Computational Natural Language Learning and the Second Learning Language in Logic Workshop,inproceedings,0
2001.jeptalnrecital-long.20,2001,Analogies morpho-synonymiques. Une methode d'acquisition automatique de liens morphologiques a partir d'un dictionnaire de synonymes,Actes de la 8eme conference sur le Traitement Automatique des Langues Naturelles. Articles longs,inproceedings,0
2001.jeptalnrecital-poster.8,2001,Defense et illustration de l'analogie,Actes de la 8eme conference sur le Traitement Automatique des Langues Naturelles. Posters,inproceedings,1
2003.jeptalnrecital-tutoriel.1,2003,Introduction a la traduction guidee par l'exemple (Traduction par analogie),Actes de la 10eme conference sur le Traitement Automatique des Langues Naturelles. Tutoriels,inproceedings,0
2004.jeptalnrecital-poster.22,2004,Analogies dans les sequences : un solveur a etats finis,Actes de la 11eme conference sur le Traitement Automatique des Langues Naturelles. Posters,inproceedings,0
C04-1106,2004,Lower and higher estimates of the number of ``true analogies'' between sentences contained in a large multilingual corpus,COLING 2004: Proceedings of the 20th International Conference on Computational Linguistics,inproceedings,0
2005.iwslt-1.4,2005,ALEPH: an EBMT system based on the preservation of proportional analogies between sentences across languages,Proceedings of the Second International Workshop on Spoken Language Translation,inproceedings,0
H05-1123,2005,A Generalized Framework for Revealing Analogous Themes across Related Topics,Proceedings of Human Language Technology Conference and Conference on Empirical Methods in Natural Language Processing,inproceedings,0
I05-1029,2005,Analogy as Functional Recategorization: Abstraction with HowNet Semantics,Second International Joint Conference on Natural Language Processing: Full Papers,inproceedings,0
W05-0616,2005,An Analogical Learner for Morphological Analysis,Proceedings of the Ninth Conference on Computational Natural Language Learning (CoNLL-2005),inproceedings,0
2006.jeptalnrecital-tutoriel.1,2006,Analogie en traitement automatique des langues. Application a la traduction automatique,Actes de la 13eme conference sur le Traitement Automatique des Langues Naturelles. Tutoriels,inproceedings,0
2006.tal-1.2,2006,Du quatrieme de proportion comme principe inductif : une proposition et son application a l'apprentissage de la morphologie [Inference with formal analogical proportions: application to the automatic learning of morphology],"Traitement Automatique des Langues, Volume 47, Numero 1 : Varia [Varia]",inproceedings,0
W05-1713,2006,An analytical relation between analogical modeling and memory based learning,Proceedings of the 15th Nordic Conference of Computational Linguistics (NODALIDA 2005),inproceedings,0
2007.jeptalnrecital-long.9,2007,Enrichissement d'un lexique bilingue par analogie,Actes de la 14eme conference sur le Traitement Automatique des Langues Naturelles. Articles longs,inproceedings,0
